Required_Order,Book_Line_Ref,Chapter,Headword,Latin_Entry,Part_of_Speech,Definitions_Whitakers,Dictionary_Form,Occurrences_in_Aeneid
392,"II.553","II.126-150","tenus","tenus","prep","as far as, to the extent of, up to, down to","tenus",5
393,"II.579","II.126-150","coniugium","iī, n.","noun","a joining together; marriage, wedlock, 4.","coniugium, iī, n.",10
394,"II.592","II.126-150","caelicola","ae, c.","noun","heaven dweller; deity, god/goddess; worshiper of heavens (L+S)","caelicola, caelicolae",8
395,"II.595","II.126-150","linquō","līquī, 3, a.","verb","leave, quit, forsake; abandon, desist from; allow to remain in place; bequeath","linquo, linquere, liqui, lictum",41
396,"II.622","II.126-150","faciēs","ēī, f.","noun","shape, face, look; presence, appearance; beauty; achievement","facies, faciei",34
397,"II.604","II.126-150","invideō","vīdī, vīsus, 2, n. and a.","verb","envy, regard with envy/ill will; be jealous of; begrudge, refuse","invideo, invidere, invidi, invisum",6
398,"II.606","II.126-150","ūmidus","a, um","adj","damp, moist, dank, wet, humid","umidus, umida, umidum",9
399,"II.609","II.126-150","fūmus","ī, m.","noun","smoke, steam, vapor, fume","fumus, fumi",10
400,"II.610","II.126-150","quatiō","no perf., quassus, 3, a.","verb","shake","quatio, quatiere, quassum",18
401,"II.611","II.126-150","ēruō","ī, tus, 3, a.","verb","pluck/dig/root up, overthrow, destroy; elicit","eruo, eruere, erui, erutum",8
402,"II.629","II.126-150","ornus","ī, f.","noun","ash-tree","ornus, orni",5
403,"II.633","II.126-150","expediō","īvī or iī, ītus, 4, a.","verb","disengage, loose, set free; be expedient; procure, obtain, make ready","expedio, expediere, expedivi, expeditum",14
404,"II.639","II.126-150","solidus","a, um","noun","gold coin; (aurus introduced by Constantine)","solidus, solidi",8
405,"II.646","II.151-170","exuviae","ārum, f.","noun","things stripped off (pl.); spoils, booty; memento, something of another's","exuvia, exuviae",12
406,"II.653","II.151-170","urgeō","ursī, 2, a. and n.","verb","press/squeeze/bear hard/down; tread/traverse continually; push/shove/thrust","urgeo, urgere, ursi",23
407,"II.683","II.151-170","mollis","e","noun","millstone; ground meal; mill (pl.) [salsa ~ => salted meal, for sacrifices]","mola, molae",24
408,"II.687","II.151-170","laetus","a, um","adj","happy/cheerful/joyful/glad; favorable/propitious; prosperous/successful","laetus, laeti, laetissi",77
409,"II.691","II.151-170","fīrmō","āvī, ātus, 3, a.","verb","strengthen, harden; support; declare; prove, confirm, establish","firmo, firmare, firmavi, firmatum",9
410,"II.694","II.151-170","stella","ae, f.","noun","star; planet, heavenly body; point of light in jewel; constellation; star shape","stella, stellae",7
411,"II.697","II.151-170","sīgnō","āvī, ātus, 1, a.","verb","mark, stamp, designate, sign; seal","signo, signare, signavi, signatum",9
412,"II.712","II.151-170","famulus","ī, m.","noun","slave (male), servant; attendant","famulus, famuli",8
413,"II.722","II.151-170","leō","leōnis, m.","noun","Leo (name of several Popes); priests (pl.) of Persian god Mithras","Leo, Leonis",17
414,"II.725","II.151-170","opācus","a, um","adj","dark, shaded; opaque","opacus, opaca, opacum",2
415,"II.765","II.151-170","crātēr","ēris, m., acc. sing. ēra, pl. ēras","noun","mixing bowl; depression, volcano crater, basin of fountain; Cup (constellation)","cratera, craterae",7
416,"II.766","II.151-170","congerō","gessī, gestus, 3, a.","verb","collect, bring/get together, amass; heap/pile up/on; build, construct; compile","congero, congerere, congessi, congestum",3
417,"II.776","II.151-170","indulgeō","dulsī, dultus, 2, n.","verb","indulge; be indulgent/lenient/kind; grant/bestow; gratify oneself; give in to","indulgeo, indulgere, indulsi, indultum",7
418,"II.804","II.151-170","arō","āvi, ātus, 1, a. and n.","verb","plow, till, cultivate; produce by plowing, grow; furrow, wrinkle","aro, arare, aravi, aratum",6
419,"II.810","II.151-170","opīmus","a, um","adj","rich, fertile; abundant; fat, plump; [opima spolia => spoils from a general]","opimus, opima, opimum",5
420,"II.810","II.151-170","lēnis","e","noun","procuress; brothel-keeper","lena, lenae",3
421,"II.810","II.151-170","māter","matris, f.","noun","mother, foster mother; lady, matron; origin, source, motherland, mother city","mater, matris",82
422,"II.790","II.151-170","lacrimō","āvī, ātus, 1, n. and a.","verb","shed tears, weep","lacrimo, lacrimare, lacrimavi, lacrimatum",13
423,"II.791","II.151-170","tenuis","e","verb","hold, keep; comprehend; possess; master; preserve; [tenere memoria => remember]","teneo, tenere, tenui, tentum",19
424,"II.792","II.151-170","bracchium","iī, n.","noun","arm; lower arm, forearm; claw; branch, shoot; earthwork connecting forts","bracchium, bracchii",15
