Required_Order,Book_Line_Ref,Chapter,Headword,Latin_Entry,Part_of_Speech,Definitions_Whitakers,Dictionary_Form,Occurrences_in_Aeneid
133,"I.201","I.126-150","sonō","sonuī, sonitus, 1, n. and a.","verb","make a noise/sound; speak/utter, emit sound; be spoken of (as); express/denote","sono, sonare, sonavi, sonatum",28
134,"I.202","I.126-150","maestus","a, um","adj","sad/unhappy; mournful/gloomy; mourning; stern/grim; ill-omened/inauspicious","maestus, maesti, maestissi",36
135,"I.206","I.126-150","surgō","surrēxī, surrēctus, 3, a. and n.","verb","rise, lift; grow","surgo, surgere, surrexi, surrectum",47
136,"I.210","I.126-150","daps","dapis, f.","noun","sacrificial feast/meal; feast, banquet; food composing it; food/meal of animals","daps, dapis",16
137,"I.211","I.126-150","vīscus","eris, n.","noun","mistletoe; bird-lime (made from mistletoe berries)","viscus, visci",12
138,"I.212","I.126-150","secō","secuī, sectus, 1, a.","verb","cut, sever; decide; divide in two/halve/split; slice/chop/cut up/carve; detach","seco, secare, secavi, secatum",29
139,"I.212","I.126-150","tremō","uī, 3, n. and a.","verb","tremble, shake, shudder at","tremo, tremere, tremui",22
141,"I.214","I.126-150","herba","ae, f.","noun","herb, grass","herba, herbae",19
142,"I.215","I.126-150","pinguis","e","noun","grease","pingue, pinguis",14
143,"I.216","I.126-150","mēnsa","ae, f.","noun","table; course, meal; banker's counter","mensa, mensae",25
144,"I.223","I.126-150","trīstis","e","adj","sad, sorrowful; gloomy","trist, tristis",44
146,"I.230","I.126-150","fulmen","inis, n.","noun","lightning, flash; thunderbolt; crushing blow","fulmen, fulminis",19
147,"I.238","I.126-150","fūnus","eris, n.","noun","burial, funeral; funeral rites; ruin; corpse; death","funus, funeris",33
148,"I.238","I.126-150","sōlor","ātus sum, 1, dep. a.","verb","solace, console, comfort; soothe, ease, lighten, relieve, assuage, mitigate","solor, solari, solatus sum",10
149,"I.244","I.126-150","fōns","fontis, m.","noun","spring, fountain, well; source/fount; principal cause; font; baptistry","fons, fontis",12
150,"I.246","I.126-150","arvum","ī, n.","noun","arable land/field, soil, region; country; dry land; stretch of plain","arvum, arvi",53
151,"I.251","I.151-175","rīdeō","rīsī, rīsus, 2, n. and a.","verb","laugh at (with dat.), laugh; ridicule","rideo, ridere, risi, risum",4
152,"I.256","I.151-175","ōsculum","ī, n.","noun","kiss; mouth; lips; orifice; mouthpiece (of a pipe)","osculum, osculi",4
153,"I.256","I.151-175","lībō","āvī, ātus, 1, a.","verb","nibble, sip; pour in offering/a libation; impair; graze, touch, skim (over)","libo, libare, libavi, libatum",13
154,"I.259","I.151-175","sublīmis","e","verb","raise, place in elevated position; soar; send up (spirits) from underworld","sublimo, sublimare, sublimavi, sublimatum",15
155,"I.264","I.151-175","ferōx","ōcis","adj","wild, bold; warlike; cruel; defiant, arrogant","feroc, feroxis",10
156,"I.264","I.151-175","contundō","tudī, tūnsus, or tūsus, 3, a.","verb","quell/crush/outdo/subdue utterly; bruise/beat; pound to pieces/powder/pulp","contundo, contundere, contudi, contusum",1
157,"I.267","I.151-175","cognōmen","inis, n.","noun","surname, family/3rd name; name (additional/derived from a characteristic)","cognomen, cognominis",13
158,"I.271","I.151-175","albus","a, um","adj","white, pale, fair, hoary, gray; bright, clear; favorable, auspicious, fortunate","albus, albi, albissi",23
159,"I.273","I.151-175","dōnec","dōnec","conj","while, as long as, until","donec",14
160,"I.275","I.151-175","lupus","ī, m.","noun","wolf; grappling iron","lupus, lupi",8
161,"I.275","I.151-175","fulvus","a, um","adj","tawny, reddish yellow; yellow","fulvus, fulva, fulvum",19
162,"I.278","I.151-175","mēta","ae, f.","noun","cone, pyramid; conical column, turning point at circus, goal; end, boundary","meta, metae",10
163,"I.280","I.151-175","fatīgō","āvī, ātus, 1, a.","verb","weary, tire, fatigue; harass; importune; overcome","fatigo, fatigare, fatigavi, fatigatum",14
164,"I.286","I.151-175","orīgō","inis, f.","noun","origin, source; birth, family; race; ancestry","origo, originis",10
165,"I.291","I.151-175","saeculum","ī, n.","noun","age; generation, people born at a time; breed, race; present time/age; century","saeculum, saeculi",8
166,"I.292","I.151-175","cānus","a, um","noun","gray hairs (pl.); old age","canus, cani",4
167,"I.293","I.151-175","dīrus","a, um","adj","awful/dire/dreadful (omen); ominous/frightful/terrible/horrible; skillful (L+S)","dirus, diri, dirissi",33
168,"I.295","I.151-175","vinciō","vinxī, vinctus, 4, a.","verb","bind, fetter; restrain","vincio, vinciere, vinxi, vinctum",4
169,"I.296","I.151-175","nōdus","ī, m.","noun","knot; node","nodus, nodi",14
170,"I.303","I.151-175","gignō","genuī, genitus, 3, a.","verb","give birth to, bring forth, bear; beget; be born (PASSIVE)","gigno, gignere, genui, genitum",14
172,"I.301","I.151-175","āla","ae, f.","noun","wing; upper arm/foreleg/fin; armpit; squadron (cavalry), flank, army's wing","ala, alae",33
173,"I.305","I.151-175","almus","a, um","adj","nourishing, kind, propitious; of a nurse/breast, providing nurture, fostering","almus, alma, almum",18
174,"I.312","I.151-175","gradior","gressus sum, 3, dep. n.","verb","walk, step, take steps, go, advance","gradior, gradii, gressus sum",10
175,"I.312","I.151-175","comitor","ātus sum, 1. dep. a.","verb","join as an attendant, guard/escort; accompany, follow; attend (funeral)","comitor, comitari, comitatus sum",21
176,"I.314","I.176-200","obvius","a, um","adj","in the way, easy; hostile; exposed (to)","obvius, obvia, obvium",18
177,"I.317","I.176-200","volucer","cris, cre","adj","winged; able to fly; flying; in rapid motion, fleet/swift; transient, fleeting","volucer, voluceris",12
179,"I.318","I.176-200","suspendō","pendī, pēnsus, 3, a.","verb","hang up, suspend","suspendo, suspendere, suspendi, suspensum",10
180,"I.319","I.176-200","coma","ae, f.","noun","hair, hair of head, mane of animal; wool, fleece; foliage, leaves; rays","coma, comae",25
181,"I.320","I.176-200","genū","ūs, n.","noun","knee","genu, genus",10
182,"I.321","I.176-200","iuvenis","e","adj","young; in the vigor or flower of life; young, youthful","iuvenis, e",78
183,"I.323","I.176-200","pharetra","ae, f.","noun","quiver","pharetra, pharetrae",13
184,"I.323","I.176-200","macula","ae, f.","noun","spot, stain, blemish; dishonor; mesh in a net","macula, maculae",3
185,"I.325","I.176-200","ōrdior","ōrsus sum, 4, dep. a. and n.","verb","begin","ordior, ordii, orsus sum",9
186,"I.335","I.176-200","dīgnor","ātus sum, 1, dep. a.","verb","deem/consider/think worthy/becoming/deserving/fit (to); deign, condescend","dignor, dignari, dignatus sum",2
187,"I.337","I.176-200","purpura","ae, f.","noun","purple color, purple; purple dye; purple-dyed cloth","purpura, purpurae",2
188,"I.341","I.176-200","germānus","a, um","noun","Germans (pl.)","Germanus, Germani",12
189,"I.349","I.176-200","caecus","a, um","noun","blind person","caecus, caeci",34
190,"I.352","I.176-200","vānus","a, um","adj","empty, vain; false, untrustworthy","vanus, vana, vanum",1
191,"I.352","I.176-200","lūdō","lūsī, lūsus, 3, n. and a.","verb","play, mock, tease, trick","ludo, ludere, lusi, lusum",12
192,"I.357","I.176-200","celerō","āvī, ātus, 1, a.","verb","quicken/accelerate; make haste, act quickly/be quick; hasten, hurry, do quickly","celero, celerare, celeravi, celeratum",8
193,"I.359","I.176-200","ignōtus","a, um","adj","unknown, strange; unacquainted with, ignorant of","ignotus, ignota, ignotum",19
194,"I.359","I.176-200","pondus","eris, n.","noun","weight, burden, impediment","pondus, ponderis",16
195,"I.359","I.176-200","aurum","ī, n.","noun","gold (metal/color), gold money, riches","aurum, auri",77
196,"I.364","I.176-200","fēmina","ae, f.","noun","woman; female","femina, feminae",9
197,"I.367","I.176-200","solum","ī, n.","noun","bottom, ground, floor; soil, land","solum, soli",30
198,"I.378","I.176-200","carpo","carpsī, carptus, 3, a.","verb","seize/pick/pluck/gather/browse/tear off; graze/crop; tease/pull out/card (wool)","carpo, carpere, carpsi, carptum",11
199,"I.389","I.176-200","līmen","inis, n.","noun","threshold, entrance; lintel; house","limen, liminis",68
200,"I.392","I.176-200","augurium","iī, n.","noun","augury (act/profession); divination, prediction; omen, portent/sign; foreboding","augurium, augurii",11
201,"I.394","I.201-225","āles","itis (gen. pl. sometimes alituum, 8.27)","noun","bird; (esp. large); winged god/monster; omen/augury; [regia ales => eagle]","ales, alitis",11
202,"I.399","I.201-225","pūbēs","is, f.","noun","manpower, adult population; private/pubic parts/hair; age/condition of puberty","pubes, pubis",20
202,"I.399","I.201-225","pūbēs","eris","noun","manpower, adult population; private/pubic parts/hair; age/condition of puberty","pubes, pubis",1
203,"I.402","I.201-225","fulgeō","fulsī, 2, and fulgō, 3, n.","verb","flash, shine; glow, gleam, glitter, shine forth, be bright","fulgeo, fulgere, fulsi",11
204,"I.404","I.201-225","spīrō","āvī, ātus, 1, n. and a.","verb","breathe; blow; live; breathe out; exhale; breathe the spirit of","spiro, spirare, spiravi, spiratum",12
206,"I.412","I.201-225","amictus","ūs, m.","noun","cloak, mantle; outer garment; clothing, garb; fashion; manner of dress; drapery","amictus, amictus",11
207,"I.415","I.201-225","revīsō","3, a. and n.","verb","revisit, go back and see","reviso, revisere",11
208,"I.417","I.201-225","caleō","uī, 2, n.","verb","be/feel/be kept warm; be hot with passion/inflamed/active/driven hotly/urged","caleo, calere, calui",2
209,"I.417","I.201-225","serta","ōrum, n.","noun","clover (species of, Melilotus or Trifolium); melilotus; serta Campanica","serta, sertae",4
210,"I.425","I.201-225","sulcus","ī, m.","noun","furrow; rut; trail of a meteor, track, wake; female external genitalia (rude)","sulcus, sulci",5
211,"I.427","I.201-225","fodiō","fōdī, fossus, 3, a.","verb","dig, dig out/up; stab","fodio, fodiere, fodi, fossum",1
212,"I.429","I.201-225","decus","oris, n.","noun","glory/splendor; honor/distinction; deeds; dignity/virtue; decorum; grace/beauty","decus, decoris",23
213,"I.430","I.201-225","flōs","flōris, m.","noun","flower, blossom; youthful prime","flos, floris",10
214,"I.436","I.201-225","ferveō","ferbuī, 2, n., and fervō, fervī, 3, n.","verb","be (very) hot; boil/burn; seethe/surge; swarm; be turbulent/run strongly; froth","ferveo, fervere, ferbui",1
215,"I.438","I.201-225","suspiciō","spexī, spectus, 3, a. and n.","verb","look up to; admire","suspicio, suspiciere, suspexi, suspectum",6
216,"I.441","I.201-225","lūcus","ī, m.","noun","grove; sacred grove","lucus, luci",35
217,"I.448","I.201-225","nectō","nexuī, or nexī, nexus, 3, a.","verb","tie, bind","necto, nectere, nexui, nexum",7
218,"I.449","I.201-225","foris","is, f.","adv","out of doors, abroad","foris",11
219,"I.453","I.201-225","lūstrō","āvī, ātus, 1, a.","verb","purify cermonially (w/procession), cleanse by sacrifice, expiate","lustro, lustrare, lustravi, lustratum",29
220,"I.458","I.201-225","ambō","ae, ō","num","both; two of pair; two considered together, both parties; each of two","amb",25
221,"I.461","I.201-225","ēn","ēn","interj","behold! see! lo! here! hey! look at this!","en",17
222,"I.468","I.201-225","crista","ae, f.","noun","crest/comb (bird/beast); plume (helmet); plant yellow-rattle; clitoris (L+S)","crista, cristae",17
223,"I.470","I.201-225","nix","nivis, f.","verb","press/lean upon; struggle; advance; depend on (with abl.); strive, labor","nitor, niti, nixus sum",3
224,"I.473","I.201-225","bibō","bibī, 3, a.","verb","drink; toast; visit, frequent (w/river name); drain, draw off; thirst for; suck","bibo, bibere, bibi, bibitum",4
225,"I.477","I.201-225","hasta","ae, f.","noun","spear/lance/javelin; spear stuck in ground for public auction/centumviral court","hasta, hastae",72
226,"I.478","I.226-250","pulvis","eris, m., rarely f.","noun","dust, powder; sand","pulvis, pulveris",13
227,"I.480","I.226-250","crīnis","is, m.","noun","hair; lock of hair, tress, plait; plume (helmet); tail of a comet","crinis, crinis",28
228,"I.482","I.226-250","pandō","pandī, passus or pānsus, 3, a.","verb","spread out [passis manibus => with hands outstretched]","pando, pandere, pandi, passum",25
229,"I.489","I.226-250","niger","gra, grum","adj","black, dark; unlucky","nigerus, nigera, nigerum",17
230,"I.490","I.226-250","lūna","ae, f.","noun","moon; month","luna, lunae",12
231,"I.495","I.226-250","stupeō","uī, 2, n. and a.","verb","be astounded","stupeo, stupere, stupui",8
232,"I.497","I.226-250","caterva","ae, f.","noun","crowd/cluster; troop, company, band of men/followers/actors; flock/herd/swarm","caterva, catervae",15
233,"I.499","I.226-250","chorus","ī, m.","noun","chorus; choral passage in a play; dancing/singing performance/ers; school","chorus, chori",13
234,"I.500","I.226-250","glomerō","āvī, atus, 1, a.","verb","collect, amass, assemble; form into a ball","glomero, glomerare, glomeravi, glomeratum",12
235,"I.506","I.226-250","sīdō","sīdī, 3, n.","verb","settle; sink down; sit down; run aground","sido, sidere, sidi",1
236,"I.513","I.226-250","obstipēscō","stipuī (stupuī), 3, inc. n.","verb","be amazed","obstipesco, obstipescere, obstipui",16
237,"I.531","I.226-250","ūber","eris, n.","noun","breast/teat (woman); udder (animal), dugs/teats; rich soil; plenty/abundance","uber, uberis",10
237,"I.531","I.226-250","ūber","eris","noun","breast/teat (woman); udder (animal), dugs/teats; rich soil; plenty/abundance","uber, uberis",4
238,"I.534","I.226-250","avis","is, f.","noun","bird; sign, omen, portent","avis, avis",10
239,"I.539","I.226-250","oleō","uī, 2, n. and a.","verb","smell of, smell like","oleo, olere, olui",2
240,"I.552","I.226-250","aptō","āvī, ātus, 1, a.","verb","adapt, fit, apply, adjust, accommodate; put on, fasten; prepare, furnish","apto, aptare, aptavi, aptatum",16
241,"I.552","I.226-250","stringō","strīnxī, strīctus, 3, a.","verb","draw tight; draw; graze; strip off","stringo, stringere, strinxi, strictum",1
242,"I.557","I.226-250","fretum","ī, n.","noun","sea; narrow sea, straits","fretum, freti",8
243,"I.564","I.226-250","compellō","pulī, pulsus, 3, a.","verb","address/accost, speak to, call upon; appeal to; challenge; chide/rebuke; accuse","compello, compellare, compellavi, compellatum",1
243,"I.564","I.226-250","compellō","āvī, ātus, 1, a.","verb","address/accost, speak to, call upon; appeal to; challenge; chide/rebuke; accuse","compello, compellare, compellavi, compellatum",11
244,"I.589","I.226-250","decōrus","a, um","adj","beautiful/good looking/handsome/comely; adorned; graceful/elegant (non-visual)","decorus, decori, decorissi",11
245,"I.590","I.226-250","iuventa","ae, f.","noun","youthfulness; the age of youth; youth, 1.","iuventa, ae, f.",9
246,"I.592","I.226-250","ebur","oris, n.","noun","ivory; object/statue of ivory; curule chair (of magistrate); elephant/tusk","ebur, eboris",4
247,"I.593","I.226-250","flāvus","a, um","adj","yellow, golden, gold colored; flaxen, blond; golden-haired (Latham)","flavus, flava, flavum",7
248,"I.597","I.226-250","miseror","ātus sum, 1, dep. a.","verb","pity, feel sorry for; view with compassion; (vocal sorrow/compassion)","miseror, miserari, miseratus sum",16
249,"I.601","I.226-250","spargō","sparsī, sparsus, 3, a.","verb","scatter, strew, sprinkle; spot","spargo, spargere, sparsi, sparsum",34
250,"I.604","I.226-250","cōnscius","a, um","adj","conscious, aware of, knowing, privy (to); sharing (secret) knowledge; guilty","conscius, conscia, conscium",13
251,"I.607","I.251-254","fluvius","iī, m.","noun","river, stream; running water","fluvius, fluvii",25
252,"I.611","I.251-254","laevus","a, um","adj","left, on the left hand; from the left; unpropitious, unfavorable, harmful","laevus, laeva, laevum",15
253,"I.623","I.251-254","stirps","stirpis, f.","noun","race","stirps, stirpis",19
254,"I.629","I.251-254","dēmum","dēmum","adv","finally, at last; at length, in the end, eventually; [tum demum => only then]","demum",11
255,"II.12","II.1-25","lūctus","ūs, m.","noun","grief, sorrow, lamentation, mourning; cause of grief","luctus, luctus",1
256,"II.16","II.1-25","intexō","uī, tus, 3, a.","verb","weave (into), embroider (on); cover by twining; insert (into a book, etc)","intexo, intexere, intexui, intextum",5
257,"II.17","II.1-25","voveō","vōvī, vōtus, 2, a.","verb","vow, dedicate, consecrate","voveo, vovere, vovi, votum",3
258,"II.18","II.1-25","sortior","ītus sum, 4, dep. n. and a.","verb","cast or draw lots; obtain by lot; appoint by lot; choose","sortior, sortii, sortitus sum",8
259,"II.18","II.1-25","fūrtim","fūrtim","adv","stealthily, secretly; imperceptibly","furtim",6
260,"II.20","II.1-25","uterus","ī, m.","noun","womb; belly, abdomen","uterus, uteri",8
261,"II.23","II.1-25","carīna","ae, f.","noun","keel, bottom of ship, hull; boat, ship, vessel; voyage; half walnut shell","carina, carinae",22
262,"II.25","II.1-25","reor","ratus sum, 2, dep. a.","verb","think, regard; deem; suppose, believe, reckon","reor, reri, ratus sum",16
263,"II.33","II.1-25","locō","āvī, ātus, 1, a.","verb","place, put, station; arrange; contract (for); farm out (taxes) on contract","loco, locare, locassi, zzzum",17
264,"II.37","II.1-25","ūrō","ussī, ūstus, 3, a.","verb","burn","uro, urere, ussi, ustum",5
265,"II.38","II.1-25","latebra","ae, f.","noun","hiding place, retreat, lair; subterfuge","latebra, latebrae",8
266,"II.46","II.1-25","māchina","ae, f.","noun","machine; siege engine; scheme","machina, machinae",4
267,"II.48","II.1-25","error","ōris, m.","noun","wandering; error; winding, maze; uncertainty; deception","error, erroris",10
268,"II.50","II.1-25","validus","a, um","adj","strong, powerful; valid","validus, valida, validum",16
269,"II.51","II.1-25","curvus","a, um","adj","curved/bent/arched; crooked; morally wrong; stooped/bowed; winding; w/many bends","curvus, curva, curvum",17
270,"II.55","II.1-25","foedō","āvī, ātus, 1, a.","verb","defile; pollute; soil, stain, make filthy/unclean; contaminate; corrupt","foedo, foedare, foedavi, foedatum",11
271,"II.57","II.1-25","ecce","ecce","interj","behold! see! look! there! here! [ecce eum => here he is]","ecce",37
272,"II.58","II.1-25","pāstor","ōris, m.","noun","shepherd, herdsman","pastor, pastoris",11
273,"II.60","II.1-25","struō","strūxī, strūctus, 3, a.","verb","build, construct","struo, struere, struxi, structum",13
274,"II.63","II.1-25","iuventūs","ūtis, f.","noun","youthfulness; the age of youth; collective, young people, the youth; warriors, 1.","iuventūs, ūtis, f.",25
275,"II.67","II.1-25","namque","namque","conj","for and in fact, on the other hand; insomuch as (strengthened nam)","namque",42
276,"II.68","II.1-25","turbō","āvī, ātus, 1, a.","verb","disturb, agitate, throw into confusion","turbo, turbare, turbavi, turbatum",7
276,"II.68","II.1-25","turbō","inis, m.","verb","disturb, agitate, throw into confusion","turbo, turbare, turbavi, turbatum",17
277,"II.69","II.1-25","heu","heu","interj","oh! ah! alas! (an expression of dismay or pain)","heu",34
278,"II.71","II.1-25","super","super","adv","above, on top, over; upwards; moreover, in addition, besides","super",33
279,"II.75","II.1-25","memorō","āvī, ātus, 1, a.","verb","remember; be mindful of (w/GEN/ACC); mention/recount/relate, remind/speak of","memoro, memorare, memoravi, memoratum",27
280,"II.77","II.26-50","equidem","equidem","adv","truly, indeed; for my part","equidem",31
281,"II.82","II.26-50","inclutus","a, um","adj","celebrated, renowned, famous, illustrious, glorious","inclutus, incluti, inclutissi",6
282,"II.84","II.26-50","īnsōns","sontis","adj","guiltless, innocent; harmless","insont, insonsis",7
283,"II.96","II.26-50","prōmittō","mīsī, missus, 3, a.","verb","promise","promitto, promittere, promisi, promissum",17
284,"II.96","II.26-50","ultor","ōris, m.","noun","avenger, revenger","ultor, ultoris",6
285,"II.97","II.26-50","hinc","hinc","adv","from here, from this source/cause; hence, henceforth","hinc",86
286,"II.101","II.26-50","nēquīquam","nēquīquam","adv","in vain","nequiquam",36
287,"II.109","II.26-50","fessus","a, um","adj","tired, wearied, fatigued, exhausted; worn out, weak, feeble, infirm, sick","fessus, fessa, fessum",33
288,"II.120","II.26-50","gelidus","a, um","adj","ice cold, icy","gelidus, gelida, gelidum",19
289,"II.121","II.26-50","ōs","ōris, n.","noun","mouth, speech, expression; face; pronunciation","os, oris",142
289,"II.121","II.26-50","os","ossis, n.","noun","mouth, speech, expression; face; pronunciation","os, oris",32
290,"II.122","II.26-50","vātēs","is, c.","noun","prophet/seer, mouthpiece of deity; oracle, soothsayer; poet (divinely inspired)","vates, vatis",36
291,"II.133","II.26-50","vitta","ae, f.","noun","band, ribbon; fillet","vitta, vittae",18
292,"II.134","II.26-50","lētum","ī, n.","noun","death; (usu. violent); Death (personified); manner of dying; P:destruction","letum, leti",32
293,"II.135","II.26-50","lacus","ūs, m.","noun","basin/tank/tub; lake/pond; reservoir/cistern/basin, trough; lime-hole; bin; pit","lacus, laci",15
294,"II.143","II.26-50","mortālis","e","adj","mortal, transient; human, of human origin","mortal, mortalis",14
296,"II.146","II.26-50","exuō","uī, ūtus, 3, a.","verb","pull off; undress, take off; strip, deprive of; lay aside, cast off","exuo, exuere, exui, exutum",10
297,"II.155","II.26-50","ēnsis","is, m.","noun","sword","ensis, ensis",62
298,"II.155","II.26-50","nefandus","a, um","adj","impious, wicked; abominable","nefandus, nefanda, nefandum",8
299,"II.157","II.26-50","fās","indecl. n.","noun","divine/heaven's law/will/command; that which is right/lawful/moral/allowed","fas",21
300,"II.165","II.26-50","vellō","vellī or vulsī, vulsus, 3, a.","verb","pluck/pull/tear out; extract; pull hair/plants; uproot; depilate; demolish","vello, vellere, velli, vulsum",10
301,"II.167","II.26-50","effigiēs","ēī, f.","noun","copy, image, likeness, portrait; effigy, statue; ghost","effigies, effigiei",7
302,"II.167","II.26-50","cruentus","a, um","adj","bloody/bleeding/discharging blood; gory; blood red; polluted w/blood-guilt","cruentus, cruenti, cruentissi",22
303,"II.169","II.26-50","retrō","retrō","adv","backwards, back, to the rear; behind, on the back side; back (time), formerly","retro",15
304,"II.171","II.26-50","mōnstrum","ī, n.","noun","monster; portent, unnatural thing/event regarded as omen/sign/portent","monstrum, monstri",31
305,"II.184","II.51-75","nefās","indecl. n.","noun","sin, violation of divine law, impious act; [fas et nefas => right and wrong]","nefas",18
306,"II.185","II.51-75","immēnsus","a, um","adj","immeasurable, immense/vast/boundless/unending; infinitely great; innumerable","immensus, immensa, immensum",11
307,"II.194","II.51-75","nepōs","ōtis, m.","noun","grandson/daughter; descendant; spendthrift, prodigal, playboy; secondary shoot","nepos, nepotis",18
308,"II.198","II.51-75","domō","uī, itus, 1, a.","verb","subdue, master, tame; conquer","domo, domare, domui, domitum",4
309,"II.201","II.51-75","sacerdōs","ōtis, c.","noun","priest, priestess","sacerdos, sacerdotis",26
310,"II.202","II.51-75","sollemnis","e","noun","solemn observance, religious ceremony; customary practice/usage","sollemne, sollemnis",3
311,"II.202","II.51-75","taurus","ī, m.","noun","bull","taurus, tauri",21
312,"II.202","II.51-75","māctō","āvī, ātus, 1, a.","verb","magnify, honor; sacrifice; slaughter, destroy","macto, mactare, mactavi, mactatum",13
313,"II.204","II.51-75","anguis","is, m. and f.","noun","snake, serpent; dragon; (constellations) Draco, Serpens, Hydra","anguis, anguis",12
314,"II.205","II.51-75","incumbō","cubuī, cubitus, 3, n.","verb","lean forward/over/on, press on; attack, apply force; fall on (one's sword)","incumbo, incumbere, incumbui, incumbitum",20
315,"II.209","II.51-75","sonitus","ūs, m.","noun","noise, loud sound","sonitus, sonitus",32
316,"II.209","II.51-75","spūmō","āvī, ātus, 1, n. and a.","verb","foam, froth; be covered in foam; cover with foam","spumo, spumare, spumavi, spumatum",12
317,"II.211","II.51-75","lambō","ī, itus, 3, a.","verb","lick; lap/lick/suck up, absorb; wash/bathe; surround; fondle/caress (L+S); fawn","lambo, lambere, lambi",5
318,"II.212","II.51-75","vīsus","ūs, m.","noun","look, sight, appearance; vision","visus, visus",12
319,"II.214","II.51-75","amplector","amplexus sum, 3, dep. a.","verb","surround, encircle, embrace, clasp; esteem; cherish; surround, include, grasp","amplector, amplecti, amplexus sum",12
320,"II.215","II.51-75","implicō","āvī or uī, ātus or itus, 1, a., ","verb","implicate; involve/engage/entangle/embroil; interweave/fold/twine w/itself","implico, implicare, implicavi, implicatum",13
321,"II.218","II.51-75","collum","ī, n.","noun","strainer","cola, colae",28
322,"II.223","II.51-75","saucius","a, um","adj","wounded; ill, sick","saucius, saucia, saucium",8
323,"II.224","II.51-75","excutiō","cussī, cussus, 3, a.","verb","shake out or off; cast out; search, examine","excutio, excutiere, excussi, excussum",22
324,"II.230","II.51-75","sacrō","āvī, ātus, 1, a.","verb","consecrate, make sacred, dedicate","sacro, sacrare, sacravi, sacratum",12
325,"II.225","II.51-75","lāpsus","ūs, m.","verb","slip, slip and fall; slide, glide, drop; perish, go wrong","labor, labi, lapsus sum",5
326,"II.227","II.51-75","clipeus","ī, m., and clipeum, ī, n.","noun","round/embossed shield (usu. bronze); disk of sun; vault of sky; meteorite","clipeus, clipei",1
327,"II.229","II.51-75","pavor","ōris, m.","noun","fear, panic","pavor, pavoris",5
328,"II.235","II.51-75","accingō","cīnxī, cīnctus (pass. inf., accingier, 4.493), 3, a.","verb","gird on or about, surround; equip, provide (with); get ready, prepare (for)","accingo, accingere, accinxi, accinctum",11
329,"II.237","II.51-75","fūnis","is, m.","noun","rope; line, cord, sheet, cable; measuring-line/rope, lot (Plater)","funis, funis",10
330,"II.245","II.76-100","sistō","stitī, status, 3, a. and n.","verb","stop, check; cause to stand; set up","sisto, sistere, stiti, statum",15
331,"II.249","II.76-100","vēlō","āvī, ātus, 1, a.","verb","veil, cover, cover up; enfold, wrap, envelop; hide, conceal; clothe in","velo, velare, velavi, velatum",15
332,"II.278","II.76-100","sopor","ōris, m.","noun","deep sleep","sopor, soporis",6
333,"II.273","II.76-100","complector","plexus sum, 3, dep. a.","verb","embrace, hug; welcome; encircle, encompass; attain; include, bring in, involve","complector, complecti, complexus sum",13
334,"II.285","II.76-100","aspiciō","spexī, spectus, 3, a.","verb","look/gaze on/at, see, observe, behold, regard; face; consider, contemplate","aspicio, aspiciere, aspexi, aspectum",34
335,"II.285","II.76-100","serēnus","a, um","adj","clear, fair, bright; serene, tranquil; cheerful, glad","serenus, serena, serenum",7
336,"II.290","II.76-100","culmen","inis, n.","noun","height/peak/top/summit/zenith; roof, gable, ridge-pole; head, chief; "keystone"","culmen, culminis",15
337,"II.297","II.76-100","penetrālis","e","adj","inner, innermost","penetral, penetralis",7
338,"II.301","II.76-100","horror","ōris, m.","noun","shivering, dread, awe rigidity (from cold, etc)","horror, horroris",7
339,"II.302","II.76-100","fastīgium","iī, n.","noun","peak, summit, top; slope, declivity, descent; gable, roof; sharp point, tip","fastigium, fastigii",10
341,"II.305","II.76-100","rapidus","a, um","adj","rapid, swift","rapidus, rapidi, rapidissi",27
342,"II.306","II.76-100","serō","sēvī, satus, 3, a.","verb","wreath; join, entwine, interweave, bind together; compose; contrive","sero, serere, serui, sertum",15
