lesson_number,latin_headword,latin_endings,part_of_speech,english
14,praetermittō,"-mittere, -misi, -missus",verb,"omit, neglect,"
14,immānis,"immani, immanissi",adjective,huge/vast/immense/tremendous/extreme/monstrous; inhuman/savage/brutal/frightful
14,exsistō,"exsistere, exstiti, ---",verb,"emerge, arise, exist"
14,vindicō,"vindicare, vindicavi, vindicatus",verb,punish;
14,impendeō,impendēre,verb,"---, ---, hang over, threaten,"
14,īgnōminia,"ignominiae, f.",noun,disgrace
14,vitium,"vitii, n.",noun,"vice, fault, flaw"
15,difficultās,"difficultatis, f.",noun,difficulty
15,caelum,"-i, n.",noun,"heaven, sky"
15,spīritus,"spiritus, m.",noun,"breath, breeze, inspiration,"
15,iūcundus,"a, um",,"pleasant, sweet"
15,nesciō,"nescire, -scivi, -scitus, not know",verb,be ignorant
15,prīdiē,on the day before,adverb,day before
15,stō,"stare, steti, statum",verb,stand
15,omittō,"-mittere, -misi, -missus, disregard",verb,"let go,"
15,quot,how many?; as many as,adjective,how many; of what number; as many
15,āiō,aiere (defective),verb,"say, tell"
16,sīca,"-ae, f.",noun,"dagger, stiletto"
16,-lābor,,,
16,sacer,sacra,noun,"sacrum, sacred"
16,dēfigō,"defigere, defixi, defixus",verb,"fix, stick into,"
16,loquor,loqui,verb,"locutus sum, speak"
16,odium,"odii, n.",noun,hatred
16,misericordia,"misericordiae, f.",noun,"compassion, pity"
16,frequentia,"frequentiae, f.",noun,"throng, crowd"
16,tot,,numeral,"so many, such a number of; as many, so many; such a great number of"
16,contingit,,,
16,iūdicium,"iudicii, n.",,"judgment, sentence, court"
16,nūdus,"a, um",adjective,"bare, naked"
16,inānis,inane,adjective,"empty, vain, worthless"
17,pactum,"-i, n.",noun,"means, method, manner; agreement"
17,careō,"carēre, carui, --- (+ abl.)",verb,"be without, lack"
17,aspectus,"aspectus, m.",noun,"look, glance, appearance"
17,mālō,malle,verb,"malui, prefer, wish rather"
17,cōnscientia,"conscientiae, f.",noun,"joint knowledge,"
17,sēnsus,"sensus, m.",noun,"sensation, understanding,"
17,parēns,"parentis, c.",noun,"parent, mother, father"
17,plācō,"placare, placavi, placatus",verb,"calm, appease,"
17,opīnor,"opinari, opinatus sum, suppose",verb,imagine
18,tacitus,"a, um",noun,"silent, quiet  < taceo"
18,nex,"necis, f.",noun,"murder, death"
18,quaestiō,"quaestionis, f.",noun,"inquiry, investigation, trial"
18,quisquis,quicquid,,"whoever, whatever"
18,abhorreō,abhorrēre,verb,"abhorrui, ---, shrink from, be"
18,vērus,"a, um",noun,true
18,falsus,"a, um",adjective,"false, feigned, pretended  < fallo"
19,repudiō,"repudiare, repudiavi, repudiatus",verb,"reject,"
19,sodālis,"sodalis, m.",noun,"companion, friend, accomplice"
19,vidēlicet,,adverb,"one may see; clearly, evidently"
19,quam,(with comparative) than; (with superlative),adverb,"how, how much; as, than; [quam + superlative => as ... as possible]"
19,carcer,"carceris, m.",noun,"prison, jail"
19,vinculum,"-i, n.",noun,"bond, chain; (plur.) prison"
19,dīgnus,"a, um",adjective,"(+ abl.), worthy, worthwhile, fitting"
20,obtemperō,"obtemperare, obtemperavi",verb,obey; comply with the demands of; be submissive to; (w/DAT)
20,ecquis,ecquid (pron.),,anyone / anything at all
20,attendō,"attendere, attendi, attenditus",verb,direct
20,silentium,"silentii, n.",noun,"silence, quiet"
21,quiescō,"quiescere, quievi, quietus, rest",verb,"keep quiet,"
21,clāmō,"clamare, -avi, -atus",verb,"shout, scream"
21,cārus,"a, um",noun,dear (+ dat.)
21,honestus,"a, um",adjective,"honorable, respectable"
21,studium,"studii, n.",noun,"zeal, enthusiasm, eagerness,"
21,vāstō,"vastare, vastavi, vastatus",verb,devastate
22,frangō,"frangere, fregi, fractus",verb,break
22,corrigō,"corrigere, correxi, correctus",verb,"correct, put"
22,utinam,if only,adverb,would that
22,tametsī,just as if,conjunction,"even if, although, though"
22,invidia,"invidiae, f.",noun,"unpopularity, hatred, envy"
22,minus,,adverb,less; not so well; not quite
22,praesēns,praesentis,adjective,"immediate, imminent, present"
22,pudor,"pudoris, m.",noun,"modesty, sense of honor, shame"
23,inimīcus,"a, um",noun,(+ dat.) unfriendly; (noun)
23,praedicō,"-dicere, -dixi, -dictus",verb,"predict, fortell,"
23,-flō,,,
23,rēctus,"a, um",adjective,"straight, right, upright, direct"
23,sermō,"sermonis, m.",noun,"conversation, speech, talk,"
23,mōlēs,"molis, f.",noun,"mass, bulk, great effort"
23,glōria,"gloriae, f.",noun,glory
23,importūnus,"a, um",adjective,"troublesome, ill-natured"
23,scelerātus,"a, um",noun,criminal
23,sēcernō,"secernere, secrevi, secretus",verb,"separate, put"
23,impius,"a, um",adjective,"irreligious, disloyal, traitorous,"
23,latrōcinium,"latrocinii, n.",noun,"brigandage, robbery; band"
24,argentum,"-i, n.",noun,"silver; money, cash; silver-plate; [argentum vivum => quicksilver/mercury]"
24,sacrārium,"sacrarii, n.",noun,shrine
25,rapiō,"rapere, rapui, raptus",verb,"snatch, grab"
25,voluptās,"voluptatis, f.",noun,pleasure
25,pariō,"parere, peperi, partus",verb,"give birth to, produce"
25,exerceō,exercēre,verb,"exercui, exercitus, exercise,"
25,ōtium,"otiii, n.",noun,"leisure, ease"
26,hīc,"haec, hoc",pronoun,this
